# Datafile created by QuickNXS 1.0.32
# Date: 2017-02-07 16:55:49
# Type: Specular
# Input file indices: 24600+24601+24602+24603
# Extracted states: ++
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth        number  File                                            
# 1      0   0   187.5   9        130     104      54      100       188   -0.002339  24550   /SNS/REF_M/IPTS-16455/data/REF_M_24550_histo.nxs
# 2      0   0   187.5   9        130.5   103      54      100       188   -0.002339  24551   /SNS/REF_M/IPTS-16455/data/REF_M_24551_histo.nxs
# 3      0   0   186.8   12       131     102      54      100       188   -0.002339  24552   /SNS/REF_M/IPTS-16455/data/REF_M_24552_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos  y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 20.7491   150   47   141.1   10       135    60       54      100       False        191   -0.261463  24600   1      /SNS/REF_M/IPTS-16455/data/REF_M_24600_histo.nxs
# 16.5959   142   49   139.5   10       135    60       54      100       False        191   -0.001396  24601   1      /SNS/REF_M/IPTS-16455/data/REF_M_24601_histo.nxs
# 12.0226   176   19   139.5   10       135    60       54      100       False        191   -0.001396  24602   2      /SNS/REF_M/IPTS-16455/data/REF_M_24602_histo.nxs
# 4.69894   176   11   139.5   10       135    60       54      100       False        191   0.561693   24603   3      /SNS/REF_M/IPTS-16455/data/REF_M_24603_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  10   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
2.357903e-02      	2.249362e-02      	1.577693e-03      	7.118859e-04      	7.055059e-03      
2.405538e-02      	1.738158e-02      	1.395297e-03      	7.267985e-04      	7.055059e-03      
2.455137e-02      	1.275032e-02      	1.202865e-03      	7.423594e-04      	7.055059e-03      
2.506824e-02      	1.439912e-02      	1.291264e-03      	7.586128e-04      	7.055059e-03      
2.560734e-02      	6.801706e-03      	9.021171e-04      	7.756060e-04      	7.055059e-03      
2.617014e-02      	5.624368e-03      	8.471387e-04      	7.933919e-04      	7.055059e-03      
2.675823e-02      	5.993946e-03      	8.927419e-04      	8.120277e-04      	7.055059e-03      
2.711498e-02      	5.858202e-03      	2.431009e-04      	8.125885e-04      	1.196894e-02      
2.748389e-02      	6.513115e-03      	2.362331e-04      	8.238328e-04      	1.196894e-02      
2.786298e-02      	6.569078e-03      	2.292930e-04      	8.353951e-04      	1.196894e-02      
2.825267e-02      	7.172972e-03      	2.339624e-04      	8.472892e-04      	1.196894e-02      
2.865342e-02      	6.895389e-03      	2.259138e-04      	8.595301e-04      	1.196894e-02      
2.906570e-02      	6.373279e-03      	2.135465e-04      	8.721327e-04      	1.196894e-02      
2.949002e-02      	6.648419e-03      	2.138975e-04      	8.851139e-04      	1.196894e-02      
2.992691e-02      	6.115938e-03      	2.006211e-04      	8.984910e-04      	1.196894e-02      
3.037693e-02      	5.026666e-03      	1.793837e-04      	9.122825e-04      	1.196894e-02      
3.084070e-02      	4.032762e-03      	1.600814e-04      	9.265081e-04      	1.196894e-02      
3.131885e-02      	3.339782e-03      	1.450887e-04      	9.411888e-04      	1.196894e-02      
3.181206e-02      	2.743296e-03      	1.333097e-04      	9.563475e-04      	1.196894e-02      
3.232106e-02      	2.415813e-03      	1.298265e-04      	9.720069e-04      	1.196894e-02      
3.284661e-02      	2.168608e-03      	1.226821e-04      	9.881941e-04      	1.196894e-02      
3.338952e-02      	2.526549e-03      	1.290165e-04      	1.004935e-03      	1.196894e-02      
3.395069e-02      	2.725250e-03      	1.329568e-04      	1.022260e-03      	1.196894e-02      
3.453105e-02      	2.948594e-03      	1.376606e-04      	1.040200e-03      	1.196894e-02      
3.513158e-02      	3.411155e-03      	1.484020e-04      	1.058788e-03      	1.196894e-02      
3.575338e-02      	3.470674e-03      	1.502894e-04      	1.078062e-03      	1.196894e-02      
3.639758e-02      	3.222330e-03      	1.470868e-04      	1.098059e-03      	1.196894e-02      
